"x"
"sss i" 2587
"of the" 1765
"in the" 1552
"sss the" 1530
"to the" 818
"on the" 695
"to be" 658
"sss it" 653
"sss and" 592
"and the" 588
"for the" 539
"sss #no" 519
"sss this" 507
"it was" 499
"i was" 498
"i have" 497
"and i" 491
"sss but" 479
"in a" 473
"sss we" 458
"is a" 456
"it is" 454
"#no eee" 445
"at the" 444
"i am" 444
"with the" 410
"it eee" 408
"that i" 398
"sss so" 378
"sss in" 375
"from the" 364
"for a" 360
"sss he" 354
"sss if" 341
"with a" 320
"if you" 315
"this is" 315
"of a" 308
"one of" 304
"but i" 296
"as a" 291
"sss it's" 290
"will be" 289
"sss a" 288
"sss you" 277
"sss they" 274
"sss she" 272
"is the" 271
"was a" 269
"have a" 266
"i had" 266
"by the" 261
"that the" 261
"to do" 259
"sss my" 251
"want to" 241
"of my" 239
"going to" 238
"i think" 236
"sss i'm" 236
"to get" 236
"and a" 235
"sss there" 235
"have to" 232
"you can" 232
"when i" 229
"a few" 227
"i don't" 227
"me eee" 226
"sss as" 222
"the first" 218
"out of" 217
"sss when" 217
"a little" 213
"in my" 212
"the same" 210
"they are" 210
"have been" 204
"on a" 202
"to make" 200
"all the" 195
"a lot" 194
"sss for" 194
"there is" 194
"to a" 194
"there are" 192
"in #no" 189
"so i" 188
"sss what" 186
"about the" 179
"be a" 178
"he was" 175
"to see" 172
"into the" 171
"them eee" 171
"i know" 170
"and then" 165
"i will" 165
"that is" 165
"i would" 164
"sss that" 164
"you are" 163
"has been" 162
"is not" 161
"i can" 160
"would be" 160
"you eee" 159
"as the" 155
"some of" 154
"the world" 154
"we are" 154
"you have" 154
"as i" 149
"to have" 148
"need to" 147
"and it" 146
"a bit" 143
"the most" 143
"was the" 141
"as well" 140
"a good" 138
"over the" 138
"had a" 136
"the other" 136
"able to" 134
"kind of" 134
"is that" 133
"sss then" 132
"had to" 131
"to go" 131
"of this" 129
"sss i've" 129
"for me" 128
"the best" 127
"time eee" 127
"all of" 126
"if i" 126
"sss after" 125
"sss now" 125
"sss one" 125
"that eee" 125
"i could" 124
"the way" 124
"that you" 123
"i love" 122
"in this" 122
"to me" 122
"a new" 121
"on my" 121
"trying to" 121
"me to" 120
"of #no" 120
"sss no" 120
"to my" 119
"to take" 119
"we have" 119
"more than" 117
"part of" 117
"can be" 116
"there was" 116
"like a" 115
"we were" 115
"at least" 114
"i did" 113
"they were" 113
"lot of" 112
"what i" 112
"but the" 111
"of his" 111
"a great" 110
"back to" 110
"to say" 110
"the last" 109
"but it" 107
"it's a" 107
"like to" 107
"of course" 107
"because i" 106
"sss well" 106
"the end" 106
"sss all" 105
"the time" 105
"wanted to" 105
"day eee" 104
"do you" 104
"i didn't" 104
"#no and" 103
"for #no" 103
"i just" 103
"sss to" 103
"the next" 103
"of them" 101
"sss not" 101
"through the" 101
"again eee" 100
"i do" 100
"the new" 100
"him eee" 99
"so much" 99
"you will" 99
"sss how" 98
"that it" 98
"from a" 97
"here eee" 97
"of our" 97
"a very" 96
"when the" 96
"would have" 96
"#no years" 95
"i can't" 95
"up to" 95
"and that" 94
"that we" 94
"like the" 93
"now eee" 93
"which is" 93
"and he" 92
"at a" 92
"she was" 92
"that he" 91
"the #no" 91
"way to" 91
"life eee" 90
"i thought" 89
"that they" 89
"i got" 88
"out the" 88
"sss these" 88
"such as" 88
"you know" 88
"#no minutes" 87
"and we" 87
"be the" 87
"sss at" 87
"sss on" 87
"i'm not" 86
"most of" 86
"out eee" 86
"such a" 86
"decided to" 85
"it to" 85
"to #no" 85
"with my" 85
"is to" 84
"sss however" 84
"that was" 83
"this eee" 83
"too eee" 83
"around the" 82
"it and" 82
"at #no" 81
"by a" 81
"don't know" 81
"up with" 81
"it has" 80
"us eee" 80
"a couple" 79
"and they" 79
"i also" 79
"i want" 79
"know that" 79
"has a" 78
"of their" 78
"on eee" 78
"sss just" 78
"there eee" 78
"when you" 78
"you want" 78
"did not" 77
"for my" 77
"in their" 77
"used to" 77
"we had" 77
"when we" 77
"about #no" 76
"into a" 76
"sss even" 76
"the only" 76
"a #no" 75
"for you" 75
"how to" 75
"i hope" 75
"sss some" 75
"then i" 75
"to use" 75
"well as" 75
"about it" 74
"and you" 74
"he is" 74
"in his" 74
"look at" 74
"not a" 74
"not to" 74
"of it" 74
"of these" 74
"people who" 74
"the book" 74
"time to" 74
"up eee" 74
"and my" 73
"are the" 73
"do not" 73
"to give" 73
"well eee" 73
"went to" 73
"all eee" 72
"and in" 72
"that are" 72
"the day" 72
"the fact" 72
"it would" 71
"of your" 71
"one eee" 71
"should be" 71
"sss here" 71
"the whole" 71
"to find" 71
"to keep" 71
"you to" 71
"and #no" 70
"are a" 70
"make a" 70
"of us" 70
"sss or" 70
"they have" 70
"and she" 69
"enough to" 69
"had been" 69
"i wanted" 69
"this year" 69
"up the" 69
"and to" 68
"end of" 68
"not the" 68
"on this" 68
"so many" 68
"way eee" 68
"get a" 67
"if the" 67
"number of" 67
"see the" 67
"sort of" 67
"sss while" 67
"there were" 67
"i've been" 66
"in your" 66
"me and" 66
"sss do" 66
"the right" 66
"this one" 66
"as they" 65
"for this" 65
"in our" 65
"it will" 65
"may be" 65
"of those" 65
"so we" 65
"the one" 65
"to help" 65
"we can" 65
"it in" 64
"the story" 64
"#no of" 63
"as it" 63
"fact that" 63
"it's not" 63
"just a" 63
"of her" 63
"sss why" 63
"that she" 63
"their own" 63
"was in" 63
"are not" 62
"couple of" 62
"home eee" 62
"i like" 62
"i really" 62
"i went" 62
"is an" 62
"lots of" 62
"off the" 62
"sss by" 62
"this was" 62
"to come" 62
"up and" 62
"was so" 62
"after the" 61
"during the" 61
"have the" 61
"is one" 61
"of that" 61
"she is" 61
"sss that's" 61
"to her" 61
"to work" 61
"up in" 61
"week eee" 61
"who are" 61
"who is" 61
"year eee" 61
"years ago" 61
"a long" 60
"go to" 60
"instead of" 60
"sss yes" 60
"those who" 60
"what the" 60
"where i" 60
"years eee" 60
"been a" 59
"i saw" 59
"my life" 59
"this time" 59
"today eee" 59
"world eee" 59
"a big" 58
"and not" 58
"and this" 58
"be able" 58
"do eee" 58
"he has" 58
"i feel" 58
"i used" 58
"in fact" 58
"sss his" 58
"try to" 58
"and his" 57
"and how" 57
"as you" 57
"does not" 57
"is in" 57
"is what" 57
"of all" 57
"sss our" 57
"the rest" 57
"the second" 57
"to share" 57
"when it" 57
"and all" 56
"each other" 56
"if they" 56
"sss maybe" 56
"sss of" 56
"sss with" 56
"take a" 56
"than the" 56
"that this" 56
"when he" 56
"with me" 56
"a small" 55
"and so" 55
"away from" 55
"do it" 55
"if it" 55
"in her" 55
"sss oh" 55
"thank you" 55
"the top" 55
"what is" 55
"you don't" 55
"back eee" 54
"i decided" 54
"it for" 54
"right eee" 54
"to this" 54
"don't have" 53
"i found" 53
"in an" 53
"more eee" 53
"my own" 53
"of what" 53
"or the" 53
"the very" 53
"we will" 53
"what you" 53
"according to" 52
"is eee" 52
"seem to" 52
"time i" 52
"to know" 52
"to write" 52
"to you" 52
"was not" 52
"work eee" 52
"and i'm" 51
"and is" 51
"could be" 51
"i made" 51
"know what" 51
"my favorite" 51
"not only" 51
"sss because" 51
"the house" 51
"to try" 51
"as an" 50
"i couldn't" 50
"not be" 50
"of you" 50
"or a" 50
"right now" 50
"so that" 50
"sss from" 50
"the people" 50
"wants to" 50
"you think" 50
"and their" 49
"as he" 49
"because of" 49
"do with" 49
"first time" 49
"good eee" 49
"her eee" 49
"in order" 49
"on his" 49
"people eee" 49
"say that" 49
"this week" 49
"too much" 49
"when they" 49
"will have" 49
"#no to" 48
"and it's" 48
"even if" 48
"for an" 48
"here is" 48
"is no" 48
"is so" 48
"many of" 48
"me that" 48
"out to" 48
"said eee" 48
"sss don't" 48
"the back" 48
"the city" 48
"the past" 48
"time and" 48
"to create" 48
"which i" 48
"a while" 47
"after a" 47
"and there" 47
"at all" 47
"come to" 47
"for that" 47
"is also" 47
"is still" 47
"more of" 47
"new york" 47
"out and" 47
"rest of" 47
"seems to" 47
"she has" 47
"think that" 47
"with his" 47
"about a" 46
"and have" 46
"as much" 46
"i still" 46
"let me" 46
"make it" 46
"must be" 46
"sss add" 46
"that will" 46
"them to" 46
"what it" 46
"with her" 46
"you do" 46
"across the" 45
"as we" 45
"but not" 45
"can see" 45
"for all" 45
"for her" 45
"from my" 45
"get the" 45
"get to" 45
"how much" 45
"in that" 45
"it all" 45
"my head" 45
"no one" 45
"not have" 45
"the kids" 45
"to think" 45
"when she" 45
"with this" 45
"and as" 44
"and if" 44
"for some" 44
"for their" 44
"had the" 44
"he said" 44
"i get" 44
"i need" 44
"in eee" 44
"in which" 44
"make the" 44
"tell you" 44
"think i" 44
"and even" 43
"and her" 43
"and what" 43
"because it" 43
"bit of" 43
"but they" 43
"full of" 43
"have no" 43
"i felt" 43
"is it" 43
"make sure" 43
"may have" 43
"not just" 43
"sss an" 43
"sss there's" 43
"sss today" 43
"the idea" 43
"us to" 43
"where the" 43
"with you" 43
"you could" 43
"all that" 42
"am not" 42
"are in" 42
"away eee" 42
"between the" 42
"even though" 42
"for us" 42
"has to" 42
"him to" 42
"now i" 42
"on it" 42
"order to" 42
"out there" 42
"so far" 42
"sss also" 42
"sss since" 42
"that my" 42
"that would" 42
"the more" 42
"the old" 42
"to eee" 42
"to his" 42
"up a" 42
"up for" 42
"with an" 42
"you may" 42
"a week" 41
"about this" 41
"and get" 41
"and other" 41
"down the" 41
"got to" 41
"i started" 41
"in and" 41
"love eee" 41
"night eee" 41
"over #no" 41
"she had" 41
"sss although" 41
"sss last" 41
"to him" 41
"to tell" 41
"under the" 41
"your own" 41
"#no in" 40
"after all" 40
"and more" 40
"and when" 40
"are you" 40
"feel like" 40
"for those" 40
"hard to" 40
"he had" 40
"in all" 40
"that has" 40
"that there" 40
"the middle" 40
"to live" 40
"to play" 40
"was going" 40
"you get" 40
"a large" 39
"and some" 39
"as if" 39
"be eee" 39
"because they" 39
"down to" 39
"for example" 39
"for it" 39
"for our" 39
"if you're" 39
"is very" 39
"might be" 39
"my first" 39
"on their" 39
"sss another" 39
"sss her" 39
"sss is" 39
"the following" 39
"the two" 39
"them and" 39
"to look" 39
"to read" 39
"to stop" 39
"with all" 39
"#no or" 38
"about my" 38
"don't think" 38
"due to" 38
"family eee" 38
"for them" 38
"forward to" 38
"i'm going" 38
"i took" 38
"if we" 38
"last night" 38
"me a" 38
"of people" 38
"on your" 38
"so it" 38
"that a" 38
"the us" 38
"them in" 38
"this book" 38
"to put" 38
"we went" 38
"#no pm" 37
"a nice" 37
"all over" 37
"along with" 37
"and now" 37
"before the" 37
"better eee" 37
"but it's" 37
"but that" 37
"for your" 37
"front of" 37
"having a" 37
"i'm a" 37
"in some" 37
"is just" 37
"like this" 37
"much eee" 37
"on to" 37
"sss here's" 37
"talking about" 37
"they can" 37
"things that" 37
"think it" 37
"though i" 37
"to start" 37
"top of" 37
"tried to" 37
"would like" 37
"a day" 36
"along the" 36
"be in" 36
"being a" 36
"but i'm" 36
"down eee" 36
"for him" 36
"how the" 36
"i always" 36
"i guess" 36
"is going" 36
"it can" 36
"it just" 36
"it seems" 36
"like i" 36
"looking for" 36
"made a" 36
"myself eee" 36
"one day" 36
"out on" 36
"piece of" 36
"rather than" 36
"ready to" 36
"since i" 36
"something that" 36
"sss eee" 36
"sss sometimes" 36
"sss which" 36
"the country" 36
"the man" 36
"then the" 36
"there's a" 36
"thing eee" 36
"what we" 36
"#no the" 35
"a different" 35
"and will" 35
"based on" 35
"but in" 35
"but then" 35
"but this" 35
"easy to" 35
"for his" 35
"got a" 35
"his own" 35
"is now" 35
"like that" 35
"love to" 35
"made me" 35
"of time" 35
"place eee" 35
"so eee" 35
"sss let" 35
"sss many" 35
"sss most" 35
"the night" 35
"think about" 35
"to buy" 35
"to us" 35
"took a" 35
"we would" 35
"with it" 35
"amount of" 34
"and for" 34
"and one" 34
"and was" 34
"back in" 34
"book eee" 34
"but if" 34
"came to" 34
"do the" 34
"etc eee" 34
"i knew" 34
"i should" 34
"it's been" 34
"just like" 34
"less than" 34
"me in" 34
"not that" 34
"of an" 34
"of being" 34
"off eee" 34
"sense of" 34
"side of" 34
"so you" 34
"sss every" 34
"that in" 34
"the big" 34
"the entire" 34
"the little" 34
"to all" 34
"to let" 34
"to them" 34
"to your" 34
"what they" 34
"while i" 34
"with that" 34
"with their" 34
"a huge" 33
"a man" 33
"a more" 33
"also a" 33
"am a" 33
"and had" 33
"and of" 33
"are so" 33
"at this" 33
"because the" 33
"better than" 33
"but he" 33
"day and" 33
"find it" 33
"hope you" 33
"how many" 33
"i believe" 33
"i said" 33
"it had" 33
"lack of" 33
"minutes eee" 33
"my heart" 33
"needs to" 33
"of me" 33
"on our" 33
"opportunity to" 33
"sss he's" 33
"sss i'll" 33
"sss only" 33
"take the" 33
"talk about" 33
"that have" 33
"the case" 33
"the moment" 33
"they had" 33
"time for" 33
"to our" 33
"to run" 33
"to watch" 33
"we all" 33
"with them" 33
"you all" 33
"#no days" 32
"#no percent" 32
"a friend" 32
"a whole" 32
"a wonderful" 32
"add the" 32
"at my" 32
"back and" 32
"can get" 32
"don't want" 32
"from #no" 32
"go eee" 32
"house eee" 32
"i find" 32
"i mean" 32
"i never" 32
"i wasn't" 32
"in front" 32
"know eee" 32
"last week" 32
"like it" 32
"live in" 32
"much more" 32
"room eee" 32
"said that" 32
"sss have" 32
"sss instead" 32
"sss like" 32
"sss their" 32
"sss yet" 32
"than a" 32
"than i" 32
"that i'm" 32
"the point" 32
"think the" 32
"this post" 32
"though eee" 32
"to hear" 32
"to it" 32
"was to" 32
"while the" 32
"#no for" 31
"#no hours" 31
"#no months" 31
"a child" 31
"a time" 31
"a year" 31
"and are" 31
"and make" 31
"and our" 31
"any of" 31
"any other" 31
"are eee" 31
"could have" 31
"didn't want" 31
"do this" 31
"every day" 31
"friends and" 31
"god eee" 31
"here and" 31
"high school" 31
"him and" 31
"i remember" 31
"know how" 31
"lives eee" 31
"my mom" 31
"no matter" 31
"not eee" 31
"not even" 31
"now and" 31
"of life" 31
"on that" 31
"or not" 31
"should have" 31
"something to" 31
"sss first" 31
"sss i'd" 31
"sss thank" 31
