"x"
"eee" 22984
"sss" 22984
"the" 17974
"and" 10823
"to" 10349
"a" 8995
"of" 8335
"i" 7881
"in" 5912
"that" 4607
"is" 4228
"it" 3951
"for" 3672
"#no" 3347
"you" 2959
"with" 2771
"was" 2740
"on" 2664
"my" 2616
"this" 2460
"as" 2201
"have" 2172
"but" 2114
"are" 1982
"be" 1980
"we" 1827
"not" 1672
"at" 1654
"so" 1612
"from" 1456
"or" 1411
"they" 1382
"me" 1379
"he" 1360
"all" 1321
"one" 1235
"by" 1190
"will" 1178
"about" 1167
"if" 1126
"his" 1080
"an" 1073
"had" 1055
"out" 1052
"her" 1044
"up" 1039
"what" 1039
"when" 1037
"just" 1021
"like" 992
"there" 971
"your" 960
"more" 954
"has" 947
"their" 947
"she" 931
"can" 912
"some" 886
"do" 875
"who" 853
"our" 846
"them" 837
"were" 799
"would" 790
"it's" 786
"time" 785
"been" 750
"i'm" 701
"get" 683
"which" 668
"no" 645
"how" 643
"then" 622
"into" 601
"now" 593
"people" 593
"new" 585
"know" 583
"because" 581
"also" 558
"don't" 557
"other" 547
"us" 522
"even" 521
"only" 521
"than" 518
"am" 511
"make" 510
"very" 509
"back" 502
"think" 502
"first" 498
"him" 493
"over" 493
"well" 492
"much" 486
"good" 484
"after" 482
"really" 481
"day" 475
"way" 468
"see" 466
"these" 449
"could" 441
"little" 441
"many" 432
"love" 427
"go" 424
"where" 399
"here" 397
"any" 395
"did" 392
"most" 390
"being" 385
"still" 384
"life" 382
"want" 373
"while" 371
"too" 369
"going" 367
"things" 367
"something" 366
"those" 363
"work" 358
"made" 356
"i've" 353
"said" 349
"two" 347
"take" 345
"years" 344
"its" 343
"through" 342
"off" 340
"around" 338
"down" 332
"before" 331
"may" 328
"last" 325
"got" 318
"year" 315
"never" 314
"right" 314
"say" 312
"great" 302
"didn't" 301
"few" 300
"again" 290
"world" 289
"own" 287
"always" 285
"such" 284
"should" 281
"every" 274
"book" 272
"come" 272
"another" 269
"long" 269
"find" 267
"need" 267
"home" 259
"look" 253
"why" 244
"better" 241
"week" 239
"next" 237
"same" 234
"thing" 233
"each" 230
"place" 230
"use" 229
"feel" 226
"sure" 225
"used" 225
"went" 225
"best" 221
"thought" 220
"can't" 219
"since" 216
"without" 215
"until" 214
"both" 212
"put" 212
"today" 212
"family" 211
